Standort-Nr.;Standjahr;Rotation;Baumart;Wdh.;Anzahl Höhentriebe;BHD    1     ;D0.1  1 ;BHD    2     ;D0.1  2 ;BHD    3     ;D0.1   3 ;BHD    4     ;D0.1  4 ;BHD    5     ;D0.1  5 ;BHD    6     ;D0.1  6 ;BHD    7     ;D0.1  7 ;BHD    8     ;D0.1  8 ;Höhe ;l         1      ;l          2      ;l          3      ;l          4      ;l          5      ;l          6      ;l          7      ;l          8      ;Bemerkungen;Standort;Aufnahmedatum
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;1;1;1;27;34;;;;;;;;;;;;;;;49,2;49,2;;;;;;;;;Abeln, Wieste;17.11.2010
1;1;1;1;1;2;49;64;;;;;;;;;;;;;;;55,6;51,8;41,7;;;;;;;;Abeln, Wieste;17.11.2010
1;1;1;1;1;3;49;55;;;;;;;;;;;;;;;57,7;52,2;22,2;;;;;;;;Abeln, Wieste;17.11.2012
